0,country,groups,deviceid,device,sellerid,itemid,date,views,clicks,revenue,Row Labels,Sum of clicks,Sum of revenue,Count of 0
7284,US,treatment,5244,Android,356,2832,5/8/17,10,1,0,GB,177,2313.065005,170
9555,GB,treatment,5245,Other,108,1343,5/8/17,2,1,0,US,308,2879.169526,336
6532,US,control,5254,Web,259,2852,5/8/17,5,0,0,treatment,777,8084.509794,796
1146,CN,treatment,5272,Other,322,2292,5/8/17,6,0,0,CA,148,834.0660004,152
8683,GB,treatment,5281,Android,484,1829,5/8/17,3,1,0,CN,167,1562.074878,166
1464,CN,control,5284,Android,339,2176,5/8/17,4,3,0,GB,128,1788.825256,155
8777,US,control,5297,Android,473,2249,5/8/17,6,3,0,US,334,3899.543659,323
7128,US,control,5299,Other,189,1071,5/8/17,7,1,0,5/11/17,2358,25390.94925,1650
1406,GB,control,5300,Other,471,2653,5/8/17,2,0,0,control,1145,12206.63403,817
5979,CN,control,5311,Ios,347,1867,5/8/17,7,1,0,CA,210,2281.456312,148
5353,CA,treatment,5319,Web,294,1869,5/8/17,7,1,0,CN,242,2497.498599,165
8648,CN,treatment,5323,Web,243,1213,5/8/17,4,1,0,GB,240,2500.283074,165
3114,CN,treatment,5344,Android,338,2571,5/8/17,2,0,0,US,453,4927.396041,339
1540,US,control,5357,Web,391,1425,5/8/17,5,0,0,treatment,1213,13184.31522,833
9898,GB,treatment,5365,Web,294,1589,5/8/17,4,1,74.32202144,CA,272,3356.160803,178
7520,GB,treatment,5369,Other,267,1836,5/8/17,6,3,0,CN,237,1813.909631,159
9800,CN,control,5377,Android,497,1535,5/8/17,3,0,0,GB,244,2878.558393,161
4602,US,control,5380,Ios,496,1916,5/8/17,10,1,0,US,460,5135.686397,335
6597,CA,treatment,5404,Web,164,1669,5/8/17,6,2,0,5/12/17,1962,19871.78681,1634
6856,US,control,5410,Web,315,1693,5/8/17,8,0,0,control,1014,11318.00002,837
2669,US,control,5420,Web,497,1326,5/8/17,5,1,0,CA,176,1745.856022,158
7635,GB,treatment,5422,Ios,472,1551,5/8/17,8,4,0,CN,221,2856.331031,176
6256,GB,treatment,5433,Android,289,2904,5/8/17,7,1,0,GB,200,2122.31716,161
2980,CN,treatment,5442,Web,478,2812,5/8/17,6,1,0,US,417,4593.495804,342
3725,CA,control,5445,Other,320,1844,5/8/17,8,2,99.48705041,treatment,948,8553.786795,797
3326,CN,control,5454,Web,312,2026,5/8/17,5,1,0,CA,156,1042.229986,142
7875,CA,control,5468,Web,111,2056,5/8/17,10,1,0,CN,202,2180.941334,169
1420,GB,treatment,5479,Other,429,1905,5/8/17,6,0,0,GB,193,1751.380326,154
1466,US,treatment,5487,Other,282,1148,5/8/17,7,2,114.3892711,US,397,3579.235148,332
7816,GB,treatment,5497,Web,399,1423,5/8/17,3,0,0,5/13/17,2033,19862.63479,1674
1391,CN,treatment,5502,Ios,289,2092,5/8/17,1,0,0,control,988,10866.06155,836
7292,GB,control,5537,Android,175,2415,5/8/17,9,1,0,CA,196,2467.555541,173
1779,GB,treatment,5545,Web,186,1139,5/8/17,3,0,0,CN,230,3060.996234,182
3213,US,control,5548,Android,107,1795,5/8/17,5,0,0,GB,186,2558.781547,173
5542,GB,treatment,5549,Android,173,1902,5/8/17,7,0,0,US,376,2778.728225,308
3172,CA,control,5552,Web,147,2627,5/8/17,7,3,0,treatment,1045,8996.573242,838
7812,GB,control,5563,Web,362,2513,5/8/17,9,2,113.0995823,CA,198,1921.873732,148
4000,GB,control,5569,Other,232,2031,5/8/17,8,0,0,CN,229,2064.13241,178
2104,CA,treatment,5571,Web,198,1387,5/8/17,7,1,0,GB,215,1842.764732,181
3186,GB,treatment,5573,Web,401,2414,5/8/17,5,2,0,US,403,3167.802368,331
3055,CN,treatment,5574,Other,493,2793,5/8/17,7,2,0,5/14/17,2422,23810.45046,1617
6869,US,treatment,5600,Web,226,1216,5/8/17,9,2,0,control,1223,12227.59984,833
1016,GB,treatment,5601,Android,224,1393,5/8/17,7,3,0,CA,269,2886.499284,173
7123,GB,treatment,5602,Ios,443,1101,5/8/17,6,0,0,CN,220,2558.379476,154
2287,GB,treatment,5604,Web,271,1013,5/8/17,6,1,0,GB,259,2171.257683,174
7913,GB,control,5634,Web,414,2521,5/8/17,4,1,0,US,475,4611.463402,332
3996,US,treatment,5637,Ios,319,2496,5/8/17,5,0,0,treatment,1199,11582.85061,784
2414,US,treatment,5643,Android,454,1987,5/8/17,10,3,0,CA,257,1476.159325,161
2517,US,treatment,5650,Android,216,1291,5/8/17,7,1,0,CN,219,2566.527751,155
4357,US,treatment,5651,Android,278,1825,5/8/17,4,0,0,GB,222,2508.589864,150
4422,US,treatment,5653,Ios,176,2257,5/8/17,7,1,0,US,501,5031.573674,318
4393,CA,treatment,5655,Android,460,2680,5/8/17,11,2,0,5/15/17,2449,22037.73949,1701
5930,US,control,5681,Ios,404,1446,5/8/17,7,1,0,control,1158,13042.01339,815
1782,US,control,5690,Other,162,1046,5/8/17,7,3,0,CA,243,2704.586014,164
7748,CA,control,5709,Ios,300,2513,5/8/17,3,1,0,CN,227,1185.412209,159
2475,US,control,5717,Android,430,2665,5/8/17,6,1,0,GB,256,3615.014257,175
9391,GB,treatment,5726,Web,397,1110,5/8/17,6,0,0,US,432,5537.000906,317
1357,CN,treatment,5745,Web,444,2250,5/8/17,7,1,0,treatment,1291,8995.726099,886
8330,US,control,5765,Web,294,2570,5/8/17,7,1,0,CA,293,1733.370047,196
7425,CA,treatment,5768,Other,234,1978,5/8/17,7,0,0,CN,216,1520.991137,166
1815,CN,control,5772,Android,286,2629,5/8/17,7,1,0,GB,287,2266.40965,175
8045,CN,treatment,5784,Android,499,1349,5/8/17,4,2,105.3719001,US,495,3474.955266,349
9166,US,control,5794,Android,399,1392,5/8/17,5,1,0,5/16/17,1807,19055.13472,1721
9299,CA,treatment,5796,Web,113,1953,5/8/17,9,3,0,control,907,9677.022175,852
5987,US,treatment,5799,Other,163,2357,5/8/17,5,0,0,CA,157,1179.886736,154
8359,GB,treatment,5811,Android,128,1412,5/8/17,4,0,0,CN,188,2139.260137,169
1739,GB,control,5829,Ios,382,2143,5/8/17,8,1,0,GB,172,1606.865446,165
5509,CA,treatment,5837,Android,174,1860,5/8/17,7,1,0,US,390,4751.009855,364
9991,US,treatment,5846,Android,241,1536,5/8/17,7,1,0,treatment,900,9378.112549,869
4698,CA,control,5894,Other,393,2079,5/8/17,6,0,0,CA,172,2231.594876,165
1895,US,treatment,5896,Other,468,1767,5/8/17,12,4,0,CN,179,2117.850916,167
8672,US,control,5907,Web,462,2264,5/8/17,8,4,0,GB,179,1587.279674,183
9434,CN,control,5917,Other,228,1886,5/8/17,6,0,0,US,370,3441.387084,354
3443,CN,treatment,5925,Android,441,2226,5/8/17,6,3,0,5/17/17,1988,22613.79992,1650
3736,US,treatment,5934,Web,114,2936,5/8/17,4,1,0,control,998,11556.07244,834
3404,CA,control,5935,Web,431,1082,5/8/17,6,1,0,CA,229,2677.881366,184
3931,CA,control,5965,Android,146,1149,5/8/17,4,1,0,CN,179,2109.199365,160
8517,US,treatment,5966,Web,232,2360,5/8/17,5,2,0,GB,186,2863.634064,146
3073,GB,treatment,5967,Ios,167,2957,5/8/17,2,1,0,US,404,3905.357641,344
6380,US,control,5980,Android,365,1028,5/8/17,2,0,0,treatment,990,11057.72749,816
7592,GB,control,5989,Android,404,2136,5/8/17,3,0,0,CA,202,1743.074682,171
8167,GB,treatment,5997,Web,299,2204,5/8/17,6,1,120.6615244,CN,217,2274.019881,176
9798,CA,control,6062,Web,409,1326,5/8/17,6,3,0,GB,180,2718.81368,155
8051,US,control,6068,Other,138,2966,5/8/17,4,0,0,US,391,4321.819244,314
9810,US,control,6096,Web,211,2694,5/8/17,7,1,0,5/18/17,1897,20995.3923,1597
5055,US,treatment,6102,Web,296,1556,5/8/17,7,2,0,control,980,10373.09376,817
5699,GB,treatment,6104,Ios,321,1365,5/8/17,13,4,0,CA,204,2568.96795,164
8707,US,control,6121,Web,165,2547,5/8/17,11,1,0,CN,196,2130.795014,153
1499,US,control,6148,Android,388,2283,5/8/17,4,2,84.05465473,GB,196,3023.818776,165
9004,CA,treatment,6164,Web,133,1129,5/8/17,6,1,0,US,384,2649.512019,335
4023,US,treatment,6167,Android,471,2476,5/8/17,4,1,73.90470079,treatment,917,10622.29854,780
5144,GB,treatment,6176,Android,187,1943,5/8/17,3,0,0,CA,163,2039.219178,143
6879,CA,treatment,6178,Web,268,1040,5/8/17,10,3,79.70101507,CN,182,2566.555703,151
8792,US,treatment,6180,Ios,251,1504,5/8/17,4,1,0,GB,215,2481.106916,173
3759,CN,control,6184,Other,443,2014,5/8/17,6,1,0,US,357,3535.416743,313
6992,CN,treatment,6203,Android,105,2900,5/8/17,3,0,0,5/19/17,1695,16779.62061,1627
1077,US,control,6238,Ios,411,2193,5/8/17,4,0,0,control,852,8746.670887,824
2877,CA,treatment,6241,Android,400,1327,5/8/17,7,0,0,CA,186,2155.842393,164
5773,GB,treatment,6242,Android,310,2188,5/8/17,6,3,0,CN,167,1299.885181,150
8072,CA,control,6254,Other,313,2519,5/8/17,3,0,0,GB,151,1315.5355,170
4542,US,treatment,6285,Android,339,1853,5/8/17,5,1,0,US,348,3975.407812,340
2903,CA,control,6286,Ios,365,1259,5/8/17,5,1,0,treatment,843,8032.949723,803
2872,GB,treatment,6291,Android,145,2586,5/8/17,5,1,0,CA,165,1656.433144,157
4878,CN,control,6314,Android,186,2326,5/8/17,5,3,0,CN,159,1584.353234,168
4160,US,treatment,6316,Other,351,1325,5/8/17,8,3,75.9340184,GB,185,1517.212603,156
7900,US,treatment,6320,Other,470,1347,5/8/17,2,0,0,US,334,3274.950742,322
4482,CN,treatment,6327,Ios,277,2210,5/8/17,0,0,0,5/20/17,1660,16394.40823,1638
2228,US,treatment,6330,Web,489,2683,5/8/17,9,3,0,control,789,7970.966523,800
7702,CA,treatment,6343,Ios,402,1263,5/8/17,9,0,0,CA,148,1861.941442,167
5701,CN,control,6358,Web,491,1963,5/8/17,5,3,0,CN,173,1713.485585,176
5095,US,treatment,6368,Other,231,2958,5/8/17,2,0,0,GB,155,1411.241604,144
4162,GB,treatment,6369,Ios,102,2547,5/8/17,6,1,18.07525863,US,313,2984.297892,313
3549,CN,control,6378,Ios,399,1378,5/8/17,8,1,0,treatment,871,8423.441706,838
1023,US,control,6402,Other,308,2483,5/8/17,7,0,0,CA,177,1709.450884,164
1434,US,treatment,6413,Other,184,1274,5/8/17,5,1,0,CN,153,1538.936531,159
1501,CN,control,6427,Other,495,2156,5/8/17,7,1,0,GB,156,1200.751808,157
6252,US,treatment,6443,Ios,278,1964,5/8/17,4,0,0,US,385,3974.302483,358
6080,GB,treatment,6457,Other,212,2446,5/8/17,6,1,0,5/21/17,1608,17092.32898,1598
7254,US,control,6460,Ios,459,1758,5/8/17,2,1,0,control,807,8053.989349,782
9097,CA,treatment,6467,Android,402,1393,5/8/17,7,0,0,CA,152,1974.264938,146
9022,US,control,6468,Web,181,1428,5/8/17,5,0,0,CN,156,1378.586529,156
6962,CN,treatment,6469,Ios,268,1655,5/8/17,6,1,0,GB,181,1687.010367,170
8090,CA,treatment,6474,Ios,266,1906,5/8/17,3,1,0,US,318,3014.127516,310
6023,CN,treatment,6523,Ios,400,2245,5/8/17,6,1,0,treatment,801,9038.339627,816
3316,CA,control,6525,Web,480,1952,5/8/17,6,1,0,CA,167,1302.410747,161
4029,GB,treatment,6542,Ios,379,2906,5/8/17,12,3,0,CN,157,2204.470065,163
7338,CN,control,6554,Android,271,2369,5/8/17,4,1,0,GB,172,2029.697199,180
1535,CA,control,6579,Android,202,1704,5/8/17,3,0,0,US,305,3501.761617,312
9404,US,treatment,6594,Android,469,1297,5/8/17,4,0,0,Grand Total,26970,274929.5547,22960
5388,CA,control,6608,Web,211,2398,5/8/17,6,2,0,,,,
NA,GB,control,6615,Android,495,1831,5/8/17,7,0,0,,,,
2958,CN,treatment,6634,Other,413,1903,5/8/17,6,1,0,,,,
6621,US,treatment,6638,Web,483,2480,5/8/17,6,1,0,,,,
4421,GB,treatment,6643,Web,465,2189,5/8/17,5,2,0,,,,
4163,CN,treatment,6685,Web,251,1969,5/8/17,10,3,0,,,,
5511,US,control,6691,Web,479,2108,5/8/17,6,1,0,,,,
6061,GB,control,6691,Web,305,1426,5/8/17,6,2,0,,,,
4010,GB,treatment,6700,Other,123,1841,5/8/17,5,1,129.4227628,,,,
2445,US,control,6706,Ios,239,2240,5/8/17,6,1,0,,,,
6596,US,control,6729,Other,124,1476,5/8/17,6,3,0,,,,
7546,GB,treatment,6737,Android,280,2737,5/8/17,6,0,0,,,,
7707,CN,control,6743,Android,139,2139,5/8/17,6,0,0,,,,
2253,GB,control,6744,Web,465,2159,5/8/17,11,3,0,,,,
4107,CA,treatment,6747,Ios,327,2865,5/8/17,5,0,0,,,,
8067,GB,control,6765,Android,293,2140,5/8/17,5,1,0,,,,
8691,US,treatment,6766,Ios,295,2241,5/8/17,6,1,0,,,,
1637,GB,treatment,6767,Android,111,2453,5/8/17,6,1,0,,,,
6355,GB,treatment,6769,Other,317,2438,5/8/17,2,0,0,,,,
4592,US,control,6771,Other,265,2294,5/8/17,6,1,0,,,,
4369,US,treatment,6802,Android,308,1761,5/8/17,7,2,0,,,,
7444,CN,treatment,6828,Android,158,2558,5/8/17,9,3,0,,,,
3228,GB,control,6833,Ios,180,2147,5/8/17,12,3,0,,,,
3661,CA,control,6834,Web,329,2358,5/8/17,4,1,0,,,,
4386,US,treatment,6835,Web,458,1477,5/8/17,6,3,0,,,,
4559,CN,control,6837,Android,264,1398,5/8/17,5,1,0,,,,
6501,GB,control,6840,Ios,150,2642,5/8/17,8,1,0,,,,
2767,GB,treatment,6842,Web,113,1257,5/8/17,6,2,0,,,,
7912,US,control,6882,Ios,338,2292,5/8/17,8,0,0,,,,
2967,GB,control,6884,Android,163,2089,5/8/17,9,1,0,,,,
9807,US,control,6894,Web,311,2032,5/8/17,3,1,0,,,,
5137,CN,control,6903,Android,367,1753,5/8/17,5,1,0,,,,
9999,GB,treatment,6910,Web,241,2307,5/8/17,5,1,0,,,,
8734,US,treatment,6928,Web,371,1919,5/8/17,6,1,0,,,,
2058,CN,treatment,6930,Other,124,2552,5/8/17,4,1,0,,,,
3761,US,treatment,6954,Web,137,2098,5/8/17,4,0,0,,,,
2523,US,treatment,6964,Web,423,2388,5/8/17,3,1,0,,,,
5942,US,control,6967,Web,104,2844,5/8/17,4,1,0,,,,
8116,CN,control,6968,Web,278,1046,5/8/17,5,1,0,,,,
8121,CN,treatment,6983,Android,317,2539,5/8/17,5,1,0,,,,
2501,CA,treatment,7003,Ios,337,1123,5/8/17,8,1,0,,,,
4344,US,control,7022,Android,164,1061,5/8/17,9,2,0,,,,
2829,US,treatment,7028,Other,139,1083,5/8/17,2,0,0,,,,
2513,GB,treatment,7030,Android,341,2009,5/8/17,9,2,0,,,,
3957,US,control,7038,Ios,367,2224,5/8/17,5,1,0,,,,
2572,CA,control,7048,Android,308,1033,5/8/17,3,0,0,,,,
6766,CN,control,7050,Android,346,1951,5/8/17,10,3,0,,,,
8062,US,control,7055,Android,480,2345,5/8/17,6,0,0,,,,
7099,CA,treatment,7063,Ios,412,2741,5/8/17,6,2,82.64490168,,,,
8816,US,control,7066,Web,250,1521,5/8/17,5,1,0,,,,
4384,CN,treatment,7078,Web,394,2184,5/8/17,10,1,0,,,,
1856,US,treatment,7081,Web,260,2379,5/8/17,8,0,0,,,,
5684,US,control,7088,Android,415,2479,5/8/17,5,1,0,,,,
9179,US,treatment,7101,Web,240,2425,5/8/17,3,0,0,,,,
3923,GB,treatment,7113,Android,381,1851,5/8/17,4,0,0,,,,
1199,CA,treatment,7126,Ios,332,1916,5/8/17,7,1,0,,,,
8115,US,treatment,7128,Web,406,2682,5/8/17,6,0,0,,,,
4455,US,treatment,7131,Ios,255,1279,5/8/17,8,1,0,,,,
4019,GB,treatment,7144,Other,477,2863,5/8/17,9,2,0,,,,
1914,US,control,7158,Web,142,1026,5/8/17,5,0,0,,,,
2637,US,control,7167,Web,174,2077,5/8/17,6,3,0,,,,
2476,GB,treatment,7169,Web,129,1068,5/8/17,6,2,92.34786346,,,,
4823,US,control,7173,Ios,241,1518,5/8/17,7,1,0,,,,
2410,US,treatment,7177,Web,155,2357,5/8/17,5,0,0,,,,
2568,CA,control,7182,Other,288,1710,5/8/17,1,0,0,,,,
6858,US,treatment,7184,Other,103,1489,5/8/17,5,1,0,,,,
9250,US,treatment,7189,Ios,301,1775,5/8/17,9,1,0,,,,
5379,CN,treatment,7194,Android,378,2251,5/8/17,9,2,0,,,,
5301,CN,treatment,7197,Android,118,2594,5/8/17,7,3,0,,,,
1109,US,treatment,7202,Ios,373,1917,5/8/17,10,1,0,,,,
4158,CA,treatment,7208,Ios,318,1936,5/8/17,4,1,0,,,,
2172,GB,control,7214,Web,445,2894,5/8/17,7,3,73.15270612,,,,
3889,CN,control,7239,Android,422,2684,5/8/17,6,3,0,,,,
8328,US,treatment,7252,Ios,356,1491,5/8/17,3,2,0,,,,
8381,CA,control,7255,Ios,237,2646,5/8/17,13,3,0,,,,
4905,CA,control,7258,Android,123,1821,5/8/17,8,2,0,,,,
8073,US,control,7259,Other,479,2492,5/8/17,4,1,0,,,,
8614,US,treatment,7265,Other,288,1261,5/8/17,5,1,0,,,,
1547,US,control,7274,Android,499,2748,5/8/17,6,0,0,,,,
5834,GB,treatment,7296,Web,461,2743,5/8/17,8,2,0,,,,
4548,CN,control,7304,Android,240,1283,5/8/17,6,1,0,,,,
5769,CN,treatment,7308,Web,146,2831,5/8/17,8,3,107.1537288,,,,
8179,CN,control,7310,Android,307,1588,5/8/17,6,1,0,,,,
2467,US,control,7316,Ios,106,2313,5/8/17,3,0,0,,,,
1682,US,control,7386,Web,238,2670,5/8/17,8,2,0,,,,
9343,CA,control,7394,Other,498,1360,5/8/17,7,1,0,,,,
3312,US,treatment,7397,Ios,357,2613,5/8/17,8,0,0,,,,
4659,GB,control,7406,Web,392,2650,5/8/17,7,1,0,,,,
1077,US,control,7417,Ios,461,1157,5/8/17,6,1,80.12798681,,,,
3275,CA,treatment,7432,Ios,222,2281,5/8/17,5,1,0,,,,
4172,GB,treatment,7443,Android,409,2272,5/8/17,9,0,0,,,,
4574,US,control,7479,Android,490,1435,5/8/17,9,2,0,,,,
3215,CA,control,7480,Ios,426,2988,5/8/17,4,0,0,,,,
9637,CA,control,7482,Ios,486,2537,5/8/17,3,2,0,,,,
4478,CN,treatment,7488,Web,142,1947,5/8/17,7,0,0,,,,
9575,US,treatment,7489,Android,465,1190,5/8/17,9,0,0,,,,
6220,CN,control,7497,Other,220,1502,5/8/17,7,1,0,,,,
3270,CA,treatment,7512,Android,455,2030,5/8/17,7,1,0,,,,
5860,US,treatment,7514,Other,290,2989,5/8/17,12,2,0,,,,
9796,US,treatment,7515,Android,476,1971,5/8/17,8,2,0,,,,
1297,CN,control,7522,Other,138,1329,5/8/17,6,0,0,,,,
7455,CN,treatment,7523,Android,177,1616,5/8/17,5,0,0,,,,
6982,GB,control,7528,Android,138,1476,5/8/17,7,2,0,,,,
1772,US,control,7529,Web,220,1644,5/8/17,8,1,0,,,,
6279,US,treatment,7558,Android,176,2578,5/8/17,4,1,0,,,,
6098,GB,treatment,7559,Ios,383,1276,5/8/17,5,2,0,,,,
8762,CA,control,7574,Ios,183,1158,5/8/17,7,1,0,,,,
8191,GB,control,7575,Ios,221,1926,5/8/17,5,0,0,,,,
3864,CA,control,7585,Ios,122,2816,5/8/17,6,1,0,,,,
2570,US,treatment,7588,Android,335,2096,5/8/17,3,0,0,,,,
7708,US,treatment,7591,Android,472,2697,5/8/17,7,0,0,,,,
8519,CA,control,7599,Web,399,1498,5/8/17,5,0,0,,,,
2193,GB,control,7612,Android,316,2777,5/8/17,2,0,0,,,,
2972,GB,control,7643,Ios,177,2929,5/8/17,6,1,0,,,,
4782,US,control,7653,Android,124,2611,5/8/17,4,3,0,,,,
6173,CN,control,7656,Other,447,1842,5/8/17,3,0,0,,,,
3629,GB,treatment,7661,Other,138,1814,5/8/17,6,1,0,,,,
3711,CA,treatment,7666,Web,487,2123,5/8/17,4,1,128.368275,,,,
5475,GB,control,7669,Web,397,1770,5/8/17,7,3,0,,,,
6197,GB,control,7707,Web,284,2457,5/8/17,9,4,92.57245349,,,,
7509,US,control,7717,Android,363,2263,5/8/17,4,1,0,,,,
2713,GB,treatment,7724,Other,192,2881,5/8/17,3,1,0,,,,
5300,US,treatment,7735,Other,135,2222,5/8/17,10,1,0,,,,
5839,CN,control,7771,Other,426,1940,5/8/17,8,4,92.79025178,,,,
6974,CA,treatment,7781,Web,337,1474,5/8/17,7,3,0,,,,
6543,US,treatment,7795,Ios,329,2411,5/8/17,4,0,0,,,,
3412,GB,treatment,7796,Android,107,2224,5/8/17,5,1,0,,,,
8846,CA,treatment,7806,Web,272,2128,5/8/17,7,2,99.81025907,,,,
3614,GB,treatment,7816,Android,299,2139,5/8/17,6,0,0,,,,
6864,GB,control,7823,Web,170,2410,5/8/17,4,1,0,,,,
5570,US,control,7831,Web,141,1972,5/8/17,4,2,93.40214167,,,,
4927,US,treatment,7832,Ios,146,2531,5/8/17,5,0,0,,,,
7082,CA,treatment,7833,Ios,466,1659,5/8/17,5,0,0,,,,
9925,CN,treatment,7836,Other,180,2810,5/8/17,2,1,0,,,,
6473,US,control,7840,Web,438,1106,5/8/17,5,1,0,,,,
9264,CA,treatment,7848,Other,278,2527,5/8/17,3,1,0,,,,
8804,US,control,7855,Web,106,1057,5/8/17,8,2,85.57237206,,,,
NA,CA,control,7857,Web,111,2678,5/8/17,5,0,0,,,,
9432,US,control,7871,Ios,445,1625,5/8/17,8,2,0,,,,
1902,CA,control,7887,Web,287,2183,5/8/17,6,1,0,,,,
6685,CN,treatment,7888,Web,218,1817,5/8/17,2,0,0,,,,
4915,US,treatment,7896,Web,331,2104,5/8/17,3,2,0,,,,
7939,CN,treatment,7928,Android,385,1537,5/8/17,8,1,0,,,,
8928,US,treatment,7935,Web,200,2317,5/8/17,2,1,0,,,,
3091,CA,control,7957,Ios,132,1984,5/8/17,6,1,0,,,,
9028,US,treatment,7958,Ios,112,2805,5/8/17,7,4,0,,,,
1890,US,treatment,7976,Android,251,1910,5/8/17,9,1,79.23613911,,,,
4467,US,treatment,7983,Web,340,2606,5/8/17,10,1,0,,,,
7168,CN,treatment,7998,Web,255,1478,5/8/17,5,0,0,,,,
8500,US,treatment,8017,Web,266,2246,5/8/17,9,1,0,,,,
3773,US,control,8032,Other,147,1998,5/8/17,4,1,0,,,,
7178,GB,control,8034,Web,315,2561,5/8/17,6,0,0,,,,
3595,CA,control,8039,Web,297,1849,5/8/17,6,1,0,,,,
2093,US,control,8049,Ios,184,1405,5/8/17,3,2,0,,,,
6885,CA,treatment,8050,Other,451,2308,5/8/17,4,1,0,,,,
2236,CA,control,8065,Ios,167,1948,5/8/17,7,0,0,,,,
5590,GB,control,8075,Android,424,1485,5/8/17,6,1,0,,,,
2437,CA,control,8079,Ios,136,2469,5/8/17,7,1,0,,,,
2654,US,control,8085,Web,320,2588,5/8/17,7,1,0,,,,
4761,US,treatment,8087,Other,477,2000,5/8/17,3,0,0,,,,
2962,US,control,8093,Other,472,1822,5/8/17,5,0,0,,,,
9016,CA,treatment,8094,Android,133,1668,5/8/17,8,2,0,,,,
4397,CN,control,8098,Android,344,1043,5/8/17,14,4,137.6941265,,,,
4804,US,treatment,8101,Web,217,1217,5/8/17,7,2,0,,,,
3284,US,control,8102,Ios,350,2860,5/8/17,6,1,0,,,,
3858,GB,control,8105,Web,160,2302,5/8/17,3,0,0,,,,
1389,US,treatment,8107,Android,226,1864,5/8/17,11,0,0,,,,
8000,GB,treatment,8117,Web,402,2604,5/8/17,2,0,0,,,,
5019,US,treatment,8118,Android,324,1823,5/8/17,4,1,0,,,,
4294,US,control,8124,Ios,434,2784,5/8/17,6,2,0,,,,
6851,US,control,8126,Android,384,2163,5/8/17,4,1,0,,,,
1085,US,control,8127,Web,338,1779,5/8/17,4,2,0,,,,
3321,US,control,8134,Other,171,1083,5/8/17,8,3,74.06658421,,,,
3000,CN,control,8135,Web,378,1760,5/8/17,4,0,0,,,,
9426,GB,control,8137,Android,490,1869,5/8/17,4,0,0,,,,
2988,GB,control,8145,Android,215,2781,5/8/17,8,3,0,,,,
5367,CN,control,8168,Android,197,2031,5/8/17,2,0,0,,,,
1732,US,control,8175,Android,103,2174,5/8/17,12,1,0,,,,
7938,CA,control,8176,Web,412,1796,5/8/17,2,2,0,,,,
2665,CA,treatment,8177,Android,499,1674,5/8/17,2,0,0,,,,
7704,CA,treatment,8180,Web,296,2460,5/8/17,13,1,0,,,,
9213,CA,treatment,8192,Android,489,1743,5/8/17,2,0,0,,,,
8735,US,treatment,8193,Web,462,1890,5/8/17,7,0,0,,,,
7827,GB,treatment,8219,Android,494,1276,5/8/17,7,1,0,,,,
9920,CA,treatment,8220,Ios,396,1738,5/8/17,8,2,0,,,,
4734,CN,treatment,8222,Android,306,2560,5/8/17,9,1,115.2286013,,,,
5427,GB,control,8233,Other,160,1944,5/8/17,8,2,127.015198,,,,
